,freq,T_total,T_zeroth,n_points,n_m0,n_eff,m,eps_real,eps_imag,mu_real,mu_imag
11,0.6645555555555556,0.2685245508767009,0.1393181092679033,-0.06477544809348344,0.04486749990857466,-0.09192932640505488,-1,-0.013809413145613623,0.5912043079293213,-0.008439430372228919,-0.012939397166186715
12,0.6650606060606061,0.32677529214986517,0.16742670185841746,-0.0617149878885952,0.048928754512631394,-0.08776418757512547,-1,-0.25802552033036574,0.8658091549396363,-0.004908959079969961,-0.007219757349599178
13,0.6655656565656566,0.4124314956338615,0.2090371451722511,-0.05774724829844122,-0.05643797154115706,-0.05643797154115706,0,-0.3319890863479469,-0.7565903593035721,-0.0008936048079960279,0.0037830120396098836
14,0.6660707070707071,0.5099113552466646,0.25608211751942805,-0.05227957984742176,-0.052114672977465915,-0.052114672977465915,0,-0.2941439296019211,-0.19090449713808413,-0.0039533228460420546,0.0072284672203306805
15,0.6665757575757576,0.5550762425743732,0.2766227801063383,-0.04471803860096504,-0.044092712685092475,-0.044092712685092475,0,-0.23318641458521366,-0.07367565090798932,-0.005435957251411845,0.00676512816813806
16,0.6670808080808082,0.4903654787412953,0.24273697322448573,-0.03544308683954381,-0.03195391332370811,-0.03195391332370811,0,-0.20256263957036544,-0.04589242357788158,-0.002615453399890047,0.00547853779127356
17,0.6675858585858586,0.3696017055176947,0.18176750866982694,-0.026565814927994036,-0.022004209552241343,-0.022004209552241343,0,-0.16289286942242312,-0.044077680985832424,0.0023472184389225557,0.005995145444615659
18,0.6680909090909092,0.2664730969653107,0.13010238471372557,-0.019841118942006325,-0.020975227180201873,-0.020975227180201873,0,-0.11766405381814571,-0.04174989269555649,0.008599889930033312,0.00870978165177287
19,0.6685959595959596,0.19804507375097924,0.09584341299769412,-0.015265046098987331,-0.023801999130190085,-0.023801999130190085,0,-0.07363133384530712,-0.03447326886528257,0.016009897869832965,0.01512338411807067
20,0.6691010101010102,0.15640314255429488,0.074856392540889,-0.012189052083731122,-0.027117422380642058,-0.027117422380642058,0,-0.03469753996402711,-0.02255288896781504,0.02310792436448183,0.030519901621537816
21,0.6696060606060606,0.13256417840737778,0.06256857186487291,-0.010069036750747783,-0.02648950293412765,-0.02648950293412765,0,-0.006541096041867989,-0.010233441331917278,0.004501180715716892,0.0639404075740246
22,0.6701111111111111,0.12108089820782131,0.05616445519756111,-0.008542980439446644,0.022759899827587516,0.022759899827587516,0,0.017589150258955414,-0.013745473076868896,-0.033222356931901294,0.03705770547803016
23,0.6706161616161617,0.11968558917391894,0.054343118956749877,-0.007352784777288969,0.019266478369879846,0.019266478369879846,0,0.05602381955451646,-0.022637470902188168,-0.026322459095334556,0.015880912251286003
24,0.6711212121212121,0.128899511448648,0.0570311932681634,-0.006261620470005631,0.01498136773498185,0.01498136773498185,0,0.10449805249249575,-0.026999160267629597,-0.0177569230397029,0.007808632483021132
25,0.6716262626262627,0.1526896230197959,0.0655089645124664,-0.004965664378538852,0.011188314219335544,0.011188314219335544,0,0.1606533317372861,-0.024716691777664904,-0.010628088047303159,0.004157925039620442
26,0.6721313131313131,0.20050838732886786,0.08298567520644556,-0.0029630719406528467,0.00959937316629382,0.00959937316629382,0,0.22360035565380107,-0.013349112443124672,-0.004709368175467882,0.002580403693084456
27,0.6726363636363637,0.2867641900354784,0.11387699506627827,0.0006417884643107357,0.01794470869723139,0.01794470869723139,0,0.2880139329053244,0.008252662326720523,5.5738831824094753e-05,0.002243008531299001
28,0.6731414141414142,0.39117625757548735,0.1482229099482807,0.0070563251541916104,0.03658666796547757,0.03658666796547757,0,0.3491131193407034,0.00487657485194791,0.003340883818507797,0.0028114678260134926
29,0.6736464646464647,0.37153530046446254,0.13356675633244627,0.015832121405706303,0.04991557962743507,0.04991557962743507,0,0.5776346958788298,-0.17439498801933265,0.0031616052915241738,0.0030065854718800255
30,0.6741515151515152,0.23543263444029416,0.07982918674628255,0.023126969735485,-0.052929403183758716,0.08192023946468827,1,0.22344555207307742,1.269729083618707,0.0029712870313851445,-0.004539191754181681
31,0.6746565656565657,0.13693519583005065,0.043525423247355394,0.02700170588038743,-0.04578422738095358,0.08896446630532151,1,-0.15570788750894435,0.6938640552227322,0.007324192291388366,-0.01095302767937002
32,0.6751616161616162,0.0865194503923988,0.025614970120919334,0.028528772500808347,-0.0471498092754926,0.08749808647711434,1,-0.18340740968250113,0.3996150818978345,0.01362446731295591,-0.018917955014733652
33,0.6756666666666667,0.06129168673396772,0.01678978427231077,0.028942671529499447,-0.051001984863910194,0.08354526364485779,1,-0.1406398631589915,0.2412223191001217,0.02275872907112137,-0.02872096679304712
34,0.6761717171717172,0.048616884388822446,0.01223791637867455,0.02900277871957008,-0.05555339689646398,0.07889335472063168,1,-0.08883039733179435,0.14254340278382402,0.0364541464457448,-0.04332852233311239
35,0.6766767676767678,0.04307697211529877,0.00989315228222708,-0.11861178406657356,-0.059891639587008064,-0.059891639587008064,0,-0.05180822097099218,-0.050167129047281954,0.04774230252204981,0.07022991710419506
36,0.6771818181818182,0.04282097931974734,0.008904720787249945,-0.11787591087774102,-0.058601291149445164,-0.058601291149445164,0,-0.0102794655227015,-0.008887376182184463,-0.027002439229256485,0.2924776038907298
37,0.6776868686868688,0.048415424422707035,0.00904205846353455,-0.11625710436396273,-0.009150727969058579,-0.14329688766260912,-1,0.00013232854970851116,0.062068316617716814,-0.16644532802338832,-0.3100818845910001
38,0.6781919191919192,0.063716385712165,0.010593032955973424,-0.11298985267896804,-0.010283186751934344,-0.14432944760595798,-1,0.041812718073569795,0.1701413623050361,-0.0599238318571492,-0.12076607363256377
39,0.6786969696969698,0.09857208813782453,0.01445248070986874,-0.10647951685320457,-0.011050402380138595,-0.14499691307353502,-1,0.0786535426783172,0.2973437677771831,-0.03610890107184155,-0.06973461968870241
40,0.6792020202020203,0.14939831672801884,0.01913019014248026,-0.09473595640862416,-0.005658460217244342,-0.13950536909724315,-1,0.09320040013327051,0.434695873621849,-0.025155035491694008,-0.04352313361226558
41,0.6797070707070707,0.11539031881408546,0.012774179649510503,-0.0813836068918196,0.005089558738253873,-0.12865789634489247,-1,0.14993975218357186,0.5647172788440813,-0.018508209696407485,-0.028434584496934513
42,0.6802121212121213,0.05149793026340501,0.004876656039867497,-0.07278410519647276,0.00869214415754156,-0.12495600481559514,-1,0.31444009554516344,0.8626482968997086,-0.012040527334292811,-0.01775536244391869
43,0.6807171717171717,0.02404497859407634,0.0019258243430666613,-0.06810779453105092,0.007253519236707517,-0.12629547098453864,-1,0.5739705985046775,1.7957873358385612,-0.005997691022981604,-0.008639745950362201
