frequency,n_eff_real_nrw,n_eff_imag_nrw,n_eff_real_dft,Z_eff_real,Z_eff_imag,eps_eff_real,eps_eff_imag,mu_eff_real,mu_eff_imag,S11_real,S11_imag,S21_real,S21_imag,branch_m
0.6204081632653061,0.2198321343436581,0.03457765528634733,0.16599888884341713,7.757433373886205e-05,0.2507517349785198,0.13816718277309853,-0.8766496316978246,-0.008653353723184678,0.05512597142927441,-0.8389310223012666,-0.4976731437098125,-0.11268445381663249,0.18934224964618054,2.0
0.6224489795918368,0.29213390116495214,0.030642388376956622,0.24049904109808137,5.8102766868923656e-05,0.14259241309443677,0.2157297131469811,-2.048645929557661,-0.00435239831369327,0.04165785832135039,-0.9358638689856438,-0.3144291222051148,0.05084849940094969,-0.15073281902827498,2.0
0.6244897959183674,0.29117891690626874,0.04880596440589899,0.24336895534942315,2.606481035738044e-05,0.29031604398092514,0.1682032643544891,-1.0029570833474608,-0.01416156498574521,0.08453518336508502,-0.830040472320839,-0.5420927913672847,0.07184152861823764,-0.10967755907566754,2.0
0.6265306122448979,0.2902348252060891,0.02803742494720741,0.24451125587474226,0.0001820245392992211,0.5938642946338057,0.04736163133815194,-0.4887079537353334,-0.01659759572927487,0.17236520324853918,-0.3609338529449448,-0.7894708521754931,0.45191526093680445,-0.20566106322560782,2.0
0.6285714285714286,0.3616005177656317,0.03683355861878452,0.3091139487083938,5.3876570789412606e-05,0.278330965151814,0.13258874120496048,-1.299148925602659,-0.010232438124449324,0.10064660557493228,-0.8175857800245785,-0.5351818006891388,-0.11659181331679312,0.17762560909040007,3.0
0.6306122448979592,0.3604324780910262,0.052940671780678336,0.3191899809743715,2.366033891587723e-05,0.44693523040864136,0.11849536351569029,-0.8064472208221709,-0.023652523385697805,0.16109122523660713,-0.6524083244206245,-0.7432668761560701,-0.1114603762591456,0.09755863204431077,3.0
0.6326530612244898,0.35927263528944964,0.04469348804334496,0.3198419712858243,4.8492086640649925e-05,0.636573066061646,0.07025251051406188,-0.5643801909831845,-0.028433248836983546,0.22870545027874695,-0.39617550344826247,-0.8825340867303464,-0.23135496583209608,0.10342198104138386,3.0
0.6346938775510205,0.304514329730333,1.4080971123035735e-05,0.32209863529236904,0.24580685062611252,0.00034096061661516877,1.2388335092421117,-0.0016611110106640463,0.07485170356047814,0.0001072885927985198,-0.7326508846610085,-0.33508993265058334,0.24691213981046284,-0.5384952210446146,2.0
0.636734693877551,0.2855794218198604,0.05062028275795657,0.3898750246140261,2.538778765005459e-05,0.5757496765046082,0.08794251634480539,-0.49600929155128115,-0.029137361192746902,0.1644235448661471,-0.48487873222607586,-0.8547289841197311,0.16133506773320438,-0.09122475729171686,2.0
0.6387755102040816,0.284669624098371,0.05457457625120518,0.39334626521082755,2.2814691601735427e-05,0.7561529376552966,0.07218535107417653,-0.3764687843368773,-0.04126023150395959,0.2152550176253387,-0.2644627450764186,-0.9489949194037521,0.1655221739370949,-0.04585557968487653,2.0
0.6408163265306123,0.283765616535663,0.038752910889197786,0.3937518413063214,1.0783668464284605e-05,1.1059401629748997,0.03504319590758221,-0.25658281355670115,-0.04285534055022089,0.3138282100966671,0.08810620928654098,-0.9338773832311787,0.3450638500990783,0.033157434891966694,2.0
0.6428571428571429,0.3535604818135634,0.02514879450381585,0.39574318069725367,0.00014448222110664997,0.46421764954434763,0.05441161829118358,-0.7616096041353186,-0.011623431069727241,0.16413264939294755,-0.4916885132238681,-0.7209320524558966,-0.4037869386538231,0.2746904663824016,3.0
0.6448979591836734,0.35244961048148454,0.05219888483915289,0.46054039303404,1.3855142817835619e-05,0.9026018322473599,0.057837568175903104,-0.3904809369333608,-0.04710992585739902,0.3181223874184606,-0.09839025643390586,-0.9763742508714959,-0.19149503220222522,0.019007150592928995,3.0
0.6469387755102041,0.3513403694970375,0.05325960774047223,0.46521858765190577,9.849602046496691e-06,1.1599961995116836,0.045916177150097666,-0.3028802313221944,-0.06177748200360842,0.4075540179375356,0.14244195122846529,-0.973065678182249,-0.17938923415542887,-0.026556195282057937,3.0
0.6489795918367347,0.35023843019568457,0.03497352309277355,0.4654852872743278,0.00021229084397346025,-1.7766153460646814,-0.019661921796922,0.19714036863267398,0.062208850244507195,-0.6222315453085228,0.4554779721246864,-0.8190494917601259,-0.3046462974167135,-0.1701391843379422,3.0
0.6510204081632653,0.41894569893226336,0.025702727961958216,0.4665520439377185,8.949842972175155e-05,0.7269051137594394,0.035430084006119925,-0.5763372963888983,-0.018645949410922045,0.3045360712951769,-0.21440927415277777,-0.8049283811402442,0.5348061503508448,-0.14175792737477622,3.0
0.653061224489796,0.41764794206121714,0.049231472937974925,0.5223483568990916,1.5839140780896928e-05,-1.3714515557626188,-0.035893830324036424,0.30453026855652104,0.06752519533782213,-0.5727831401166816,0.29293174597626337,-0.9340361697825488,0.19495571562165498,0.061480731638756725,3.0
0.6551020408163266,0.4163495009945705,0.04875054127144444,0.5351371230831341,3.966534018538235e-05,-1.8269354842842698,-0.02667937764316818,0.22789560048655597,0.08908060837145958,-0.760641743524226,0.5205680953035186,-0.8336982619101246,0.15622177965561798,0.09791508942407513,3.0
0.6571428571428571,0.4150623533725126,0.026861732041875606,0.5354518620506895,0.0017280874211850136,-3.358587634463133,-0.007934336298323108,0.12358649223265385,0.09093474510797603,-1.3939768681468354,0.7439029948360626,-0.5791458906352018,0.20441468516769207,0.2635842085995726,3.0
0.6591836734693878,0.48271293965361983,0.02359508344133546,0.5359353078743366,7.250676335661059e-05,-1.1306048306583014,-0.020842053620686207,0.4269524043713896,0.02671171527144421,-0.5457558705905202,0.07654060776878557,-0.7898427353433751,-0.6055954309133393,-0.05946447972968068,4.0
0.6612244897959184,0.4812370995708421,0.0423625890404547,0.5612511664498124,0.000176913688379896,-2.3019388740249944,-0.018386936409147975,0.2090587017326486,0.09760122794683818,-1.1077708926032819,0.6521801837835459,-0.7282499022077122,-0.15662498158803756,-0.14073734260155116,4.0
0.663265306122449,0.47975967497382654,0.03703577759167435,0.6034310584279742,0.000605926725337986,-3.6100362529817973,-0.010236808905199072,0.1328978004953967,0.1339911989721214,-1.7319273784068412,0.8260614081164865,-0.5301428616920608,-0.10306076766557574,-0.1612210802972208,4.0
0.6653061224489796,0.5034915420947097,1.3741221599718792e-05,0.6039870643028227,5.346089966099306,-0.01125510026280838,0.09417897655251957,0.00020084492632106612,2.691711235867221,-0.00559338598083576,0.9099133089631293,-0.14325413361317985,-0.059792464276208226,-0.3847517333687701,4.0
0.6673469387755102,0.5449323464725434,0.023004153747624816,0.6043099786535618,0.0015288045765069912,-2.667134686970764,-0.008507928217595785,0.20431864805862823,0.06218827146987257,-1.453372794473763,0.5943559748918839,-0.6601664158960912,0.34083468959735946,0.30781710034362053,4.0
0.6693877551020408,0.5432824226098109,0.023763041460599398,0.6162638866550789,0.006050987558082779,-7.086663398099188,-0.0032877446551093097,0.07666546104864239,0.17168807132608024,-3.849915869271381,0.9213389779682585,-0.3315889303439264,0.06840628033954431,0.19114447130531673,4.0
